RAZON SOCIAL,RFC,Segmentos
ACERO Y ALUMINIO DE DOLORES SA DE CV,AAD980925253,Acero
ANTROS BARES Y CLUBES MEXICANOS SA DE CV,ABC080605RZ4,Restaurantes
ASOCIACION DE CONDOMINOS DE BOSQUE ESMERALDA - MADRID AC,ACB080812NJ3,Premium
ASOCIACION DE CONDOMINOS DE CONDOMINIOS DEL BOSQUE AC,ACC961010147,Premium
ASOCIACION DE CONDOMINOS DEL EDIFICIO PALM LC AC,ACE100805B74,Premium
ASOCIACION DE CONDOMINOS DE JUVENTINO ROSAS NO 70 AC,ACJ010423CP2,Premium
ALIMENTOS CONGELADOS MAYELA ESQUIVEL SA DE CV,ACM010122JS0,Manufactura Alimentos
ATLAS COPCO MEXICANA SA DE CV,ACM8306296D2,Manufactura Industria Textil
AKV CONSTRUCCIONES S.A. DE C.V.,ACO0812108H4,NC Edificación Comercial
ACEROS CORSA SA DE CV,ACO5603138E3,Acero
ANROMI CONSTRUCCIONES S.A DE C.V,ACO831215Q57,NC Edificación Comercial
ACUATERRA CONSTRUCCIONES SA DE CV,ACO9911161T2,NC Edificación Comercial
AZUL CONCRETOS Y PREMEZCLADOS S.A.DE C.V.,ACP111209HG7,NC Edificación Comercial
ASOCIACION DE CONDOMINIOS PORTA REAL A.C.,ACP1208251V3,Medium
ASOCIACION CONDOMINOS PLAZA ESMERALDA A.C.,ACP930401T99,Plazas Comerciales
"AGRICOLA CUETO PRODUCE, S.A. DE C.V.",ACP970310BM2,Manufactura Alimentos
ANALISIS CLINICOS Y RAYOS X DE OCCIDENTE S. DE R.L. DE C.V.,ACR051111I47,Hospitales Privados
ASOCIACION DE COLONOS DE RESIDENCIAL CHILUCA A.C.,ACR8507259Z2,Premium
ARTE Y DISEÑO INTERNACIONAL SA DECV,ADI000530B85,Carpinterías
ART DECORACION LATINA SA DE CV,ADL110808A75,NC Edificación Comercial
ACADEMIA DE ESTUDIOS AVANZADOS LENGUAS EXTRANJERAS Y COMPUTACION S.A. DE C.V.,AEA980825HQ5,Educación Privada
ACCESO ESTRATEGICO ESCALA S.A. DE C.V.,AEE1112193V0,Autoservicios
AGRICOLA EMI S.P.R. DE R.L. DE C.V,AEM140213RY0,Manufactura Alimentos
ACEROS ESTRUCTURALES SANTA CATARINA S.A DE C.V,AES130628E87,Acero
ACEROS GAMMA INOX SA DE CV,AGA140827RV3,Acero
ACRLICOS E IDEAS S A DE C V,AID821209FD1,Industria Química
ARQUITECTURA INMOBILIARIA S.A. DE C.V.,AID9807072D1,NC Vivienda Media
ACEROS INDUSTRIALES EPC SA DE CV,AIE120613TD0,Acero
ADMINISTRADORA INNMOBILIARIA FIDESA S.C,AIF120815UZ9,NC Vivienda Media
ASISTENCIA INTEGRAL KCM SA DE CV,AIK090226DN8,Bancos
AGIL INMOBILIARIA SA DE CV,AIN990701JM2,NC Vivienda Media
ACEROS JARMEG. S. DE. RL. DE. CV.,AJA1001111QA,Acero
AUTOSERVICIO JOCARAN DE PROGRESO S.A DE C.V.,AJP000711EG4,Gasolineras
ALIMENTOS KOWI SA DE CV,AKO971007558,Manufactura Alimentos
ACEITES Y LUBRICANTES INDUSTRIALISIMO S.A. DE C.V.,ALI090601G21,Gaseras
ASOCIACION MEDICA COYOACAN AC,AMC130307K84,Hospitales Privados
ASOCIACION MEXICANA DE ENGORDA E INTRODUCTORES DE AVES EN EL DISTRITO FEDERAL,AME620108RR1,"Asociaciones, Institutos y Embajadas"
"AUTOFINANCIAMIENTO MEXICO, S.A. DE C.V.",AME940622UA2,Bancos
AVANTI MULTICORPORATIVO MEDICO S.A DE C.V,AMM150423K46,Hospitales Privados
ALVA MEX QUIMICA SA DE C.V,AMQ9002135L7,Industria Química
"ARQUIDIOCESIS DE MORELIA RECTORIA DE SANTA CATALINA DE SIENA, AR",AMR930808MW1,Iglesias
ALIMENTOS NAHUAL SA DE CV,ANA070119GV8,Manufactura Alimentos
AGRICOLA ORDINVER S.C.DE R.L. DE C.V.,AOR040906MV1,Manufactura Alimentos
ALVA PAPELERIA SA DE CV,APA000525KV6,NC Edificación Comercial
AUTOTANQUES PETROQUIMICOS S.A DE C.V.,APE9508042S0,Pequeños Negocios
AGUA PURIFICADA Y HIELO MONTREAL SA DE CV,APH080201678,Manufactura Bebidas
ACEROS Y PERFILES MORALES S.A.DE C.V.,APM060502UZ6,Herrerías
ARMSTRONG SECURITY DE MEXICO SA DE CV,APS020621G66,Oficinas e Inmobiliarias
AGUA ROCA AZUL SA DE CV,ARA971001R96,Manufactura Bebidas
AGRICOLA EL RENOVAL S. P. R. DE R. L. DE C. V .,ARE1503023F3,Manufactura Alimentos
AGRICOLA EL RENOVAL S.P.R. DE R.L. DE C.V.,ARE1503023F3,Manufactura Alimentos
"AVICOLA SAN ANDRES, S.A. DE C.V.",ASA840106LL6,Manufactura Alimentos
AUTOMOTRIZ SAN COSME SA DE CV,ASC8106017C5,Agencias Automotrices
AYUDA Y SOLIDARIDAD CON LAS NIÑAS DE LA CALLE IAP,ASN930729MI7,Hospitales Privados
AGUACATE STEAK SA DE CV,AST130717BN1,Manufactura Alimentos
ACONDICIONAMIENTO TERMO ACUSTICO Y CONTROL AMBIENTAL S. DE RL,ATA0303257N7,NC Edificación Comercial
"ARQUIDIOCESIS DE TLALNEPANTLA,A.R.",ATA9401033G7,Iglesias
ARBE UNO IMMOBILIARIA S.A DE C.V,AUI0507154H1,NC Vivienda Media
ACEROS UNION 25 SA DE CV,AUV080225AF2,Acero
ADMINISTRADORA DE VIVIENDA PLAZA CARSO AC,AVP110713CKA,NC Vivienda Interes Social
ACEROS VS S.A. DE C.V.,AVS140616GP3,Acero
AUDIO VIDEO Y TURISMO S.A DE C.V,AVT910726B44,Hoteles
AGENCIA DE VIAJES VIVA SA DE CV,AVV920724EJ0,Pequeños Negocios
SOCIEDAD COOPERATIVA LA AXOCOCHETL SC DE RL DE CV,AXO1011135LA,Bancos
BACHOCO SA DE CV,BAC800208B25,Manufactura Alimentos
BANCO DE ALIMENTOS DEL ESTADO DE MORELOS AC,BAE1005127L1,Manufactura Alimentos
"BJ CONSTRUCCIONES, SA DE CV",BCO970627J10,NC Edificación Comercial
BORDADOS Y DEPORTES CAMBOL S.A DE C.V,BDC860314N58,Manufactura Industria Textil
BIMBO SA DE CV,BIM011108DJ5,Manufactura Alimentos
BANCO NACIONAL DEL EJERCITO FUERZA AEREA Y ARMADA S.N.C.,BNE820901682,Bancos
CALEFACCION AIRE ACONDICIONADO Y REFRIGERACION SA DE CV,CAA0102225F6,Pequeños Negocios
MARISELA CASAS DELGADO,CADM770407HF0,Concesionarios Comex
VERONICA CASAS DELGADO,CADV720531RE0,Concesionarios Comex
CONSTRUCCIONES EN ACERO GONZALEZ S.A. DE C.V.,CAG021119LB6,NC Edificación Comercial
COMERCIALIZADORA ALMACENES GARCIA DE MEXICO S A DE C V,CAG0412176A6,Departamentales
CONSTRUCTORA Y ASOCIADOS GUERRERO S.A DE C.V,CAG070621FE4,Estructuras Metálicas
COLEGIO ALEMAN DE GUADALAJARA A.C.,CAG790607RP2,Educación Privada
CEMENTOS Y ACEROS DEL ITSMO SA DE CV,CAI960729S96,Acero
COMERCIALIZADORA AVESA DE MORELOS SA DE CV,CAM0604074P3,Pequeños Negocios
CONCRETOS ASFALTICOSDE MEXICO S.A. DE C.V.,CAM870907796,NC Edificación Comercial
"CONCRETOS APASCO,S.A DE C.V",CAP771001J57,NC Edificación Comercial
COMICION DE AGUA POTABLE Y ALCANTARILLADO DEL MUNICIPIO DE MIXQUIAHULA,CAPO40210K23,Agua
CONSTRUCTORA ARRESA S.A DE C.V,CAR910708C74,NC Edificación Comercial
CLINICA AVANTI SA DE CV,CAV100226UPA,Hospitales Privados
MAQUILAS FERROSAS INDUSTRIALES SA DE CV,CAV9603188U6,NC Edificación Comercial
COLEGIO ARTURO VELEZ MARTINEZ AC,CAV9608081V0,Educación Privada
CONSTRUCTORA AZBED SA DE CV,CAZ931126TK9,NC Edificación Comercial
COLEGIO ANDES DE ZUMPANGO,CAZ9901133FA,Educación Privada
CONSTRUCCIONES B B Q SA DE CV,CBB050727PJ8,NC Edificación Comercial
"COMERCIALIZADORA BBMEX, S.A. DE C.V.",CBB091030U96,Pequeños Negocios
CONSTRUCTORA LA BIZNAGA S.A. DE C.V.,CBI08082061A,NC Edificación Comercial
CORPORACION BIOQUIMICA DE MEXICO S.A DE C.V.,CBM890622PM1,Industria Química
CONSTRUCTORA BOSQUE SERENO SA DE CV,CBS1209192TA,NC Edificación Comercial
CONSTRUCCIONES CALVEC SA DE CV,CCA081015II2,NC Edificación Comercial
COLCHONES CANADA S.A DE C.V,CCA830914J98,Manufactura Industria Textil
CONSTRUCCIONES CASALA S.A DEC.V,CCA941212RQ4,NC Edificación Comercial
COMEDOR DE LA CARIDAD AC,CCA990317HV1,Restaurantes
CONSTRUCTORA Y COMERCIALIZADORA BERMAJE S. DE R.L. DE .C.V.,CCB140507428,NC Vivienda Media
CONSTRUCCION DE CANCHAS DEPORTIVAS SA DE CV,CCD880210CE7,NC Edificación Comercial
CONSTRUCCIONES GESGROM SA DE CV,CCE090819CW6,NC Edificación Comercial
COMERCIALIZADORA Y CONSTRUCCION FONSECA S.A. DE C.V.,CCF0712206IA,NC Edificación Comercial
"COMERCIALIZADORA Y CONSTRUCCIONES FYE , S.A. DE C.V.",CCF08112472A,NC Edificación Comercial
CASA DE LACULTURA FRAY NICOLAS P NAVARRETE DEL MUNICIPIO DE SANTIAGO MARAVATIO GUANAJUATO,CCF100710D34," Asociaciones, Institutos y Embajadas "
COISE CONSTRUCCIONES INTEGRALES Y DE SERVICIO S.A DE C.V,CCI0207011J5,NC Edificación Comercial
CAJAS DE CARTON MAR-PACK S.A DE C.V,CCM130128LA3,Manufactura Cartón
CONSTRUCTORA CASA MAGNA SA DE CV,CCM9409122E8,NC Edificación Comercial
CONSTRUCCIONES CONACSA S.A. DE C.V.,CCO001025AY0,NC Edificación Comercial
CB COATS SA DE SV,CCO010207AF7,Concesionarios Comex
CAMM CONSTRUCCIONES SA DE CV,CCO021219SL9,NC Edificación Comercial
CKPSA CONSTRUCCIONES S.A DE C.V,CCO110606JF6,NC Edificación Comercial
CONSTRUCTORA COAPA 11 SA DE CV,CCO1405098H5,NC Edificación Comercial
CARE CONSTRUCCIONES SA DE CV,CCO9411152M2,NC Edificación Comercial
COMERCIALIZADORA EL CORAZON DE POLLO SA DE CV,CCP120911HY6,Pequeños Negocios
CENTRO COMERCIAL PLAZA NEZA AC,CCP140124IG1,Plazas Comerciales
CONSTRUCTORA Y COMERCIALIZADORA PLAZA DEL MAR SA DE CV,CCP890320ET7,NC Vivienda Media
COMERCIALIZADORA DE CHILES SECOS DE AGUASCALIENTES SA DE CV,CCS910124UF7,Pequeños Negocios
CONSTRUCCIONES Y DEMOLICIONES AGUASCALIENTES SA DE CV,CDA150616H95,NC Edificación Comercial
CONSTRUCTORA DALMY S DE S V,CDA831018QP3,NC Edificación Comercial
"CASTOR DISEÑO Y CONSTRUCCION, S.A. DE C.V.",CDC030120GJ9,Municipios
CENTRO DE DESARROLLO Y CAPACITACION SC,CDC041006UH0,Educación Privada
CENTRO DE DESARROLLO HUMANO HACIA LA COMUNIDAD AC,CDH000301SD5,Educación Privada
CENTRO DE ESTUDIOS ACTUALIZADOS DE EDUCACION EFREN REBOLLEDO AC,CEA1302239A8,Educación Privada
CENTRO DE ESTUDIOS COPAN SC,CEC0307221D0,Educación Privada
CONSTRUCCIONES EDY.NAY S. DE R.L. DE C.V.,CED091127835,NC Edificación Comercial
CENTROS ESCOLARES GEU AC,CEG110503IN2,Educación Privada
CONSTRUCCIONES EDIFICACIONES HERRERA S A DE C V,CEH110929R13,NC Edificación Comercial
CONSTRUCCIONES E INSTALACIONES JOSHE S SA DE CV,CEI0904023V8,NC Edificación Comercial
"CENTRO DE ESTUDIOS DE IDIOMAS LINDA VISTA SUC.CUAUTLA, A.C.",CEI810715226,Educación Privada
COMERCIALIZADORA DE ESTRUCTURAS Y JUEGOS PLAYRUBERT S.A DE C.V.,CEJ090403H3A,Pequeños Negocios
COLEGIO ELENA JACKSON FISKEHUNT AC,CEJ911024LV3,Educación Privada
CONSTRUCTORA Y EDIFICADORA LIBRA S.A DE C.V.,CEL120116G62,NC Vivienda Media
CONSTRUCTORA Y EDIFICADORA LYH S.A.DE C.V.,CEL980903QR5,NC Hospitales y clínicas
CEMEX MEXICO S.A. DE C.V.,CEM880726UZA,Minería
CLINICA DE ESPECIALIDADES MEDICA DEL SUR,CEM9509084Z8,Hospitales Privados
CENTRO DE ESTUDIOS PRITAL S.C.,CEP010912I41,Educación Privada
COOPERATIVA ESCOLAR DE PRODUCCION UNION CBTA 19 CEL,CEP830222N76,Manufactura Alimentos
COLEGIO DE EDUCACION PROFESIONAL TECNICA DEL ESTADO DE CAMPECHE,CEP990109H61,Educación Privada
COLEGIO DE EDUCACION PROFESIONAL TECNICA DEL ESTADO DE CAMPECHE,CEP990109H61,Educación Privada
CONALEP,CEP9909182S6,Educacion Publica
"CUPER EQUIPOS, S.A. DE C.V.",CEQ860305I12,Maquinaria y Equipo
COLEGIO EUREKA TEPIC VANGUARDIA EDUCATIVA SC,CEV090828GG1,Educación Privada
CONSTRUCCIONES FASAR S.A DE .C.V,CFA9906104A6,NC Edificación Comercial
CARNES FINAS CESAR S A DE C V,CFC090422G57,Manufactura Alimentos
"CONSTRUCTORA FER CEF S.A DE C,V",CFC131130G71,NC Edificación Comercial
COLEGIO FINLANDES DE JALISCO AC,CFD081110SE5,Educación Privada
CONSTRUCCIONES FORMA DE GUADALAJARA SA DE CV,CFG9104151QA,NC Edificación Comercial
COMPAÑIA CONSTRUCTORA FRONTERIZA S.A. DE C.V.,CFR9111264V5,NC Edificación Comercial
EL COLEGIO DE LA FRONTERA SUR,CFS941020BZ5,Educación Privada
COLEGIO FRAY TORIBIO DE BENAVENTE AC,CFT070202C59,Educación Privada
CONSTRUCTORA GAMIZAL SA DE CV,CGA150807UYA,NC Edificación Comercial
"CONSTRUCTORA GERMER, S.A. DE C.V.",CGE010330IX7,NC Edificación Comercial
CONSTRUCTORA GRUPO L-I SA DE CV,CGL040316166,NC Edificación Comercial
CONSTRUCTORA GAL DE MORELIA S.A DE C.V,CGM8602132K5,NC Edificación Comercial
COLEGIO HUMANISTA LOS CEDROS A.C.,CHC101119ML8,Educación Privada
CUEVAS HERNANDEZCONSTRUCCIONES INTEGRALES,CHC120223BF2,Carpinterías
CONSTRUCCIONES HIDRAULICAS GUADALAJARA SA DE CV,CHG040708HA6,NC Edificación Comercial
CORPOACEROS DE HIDALGO S.A DE C.V,CHI060826D13,Acero
CONSTRUCCIONES HIDROPAC S A DE C V,CHI080521IS9,NC Edificación Comercial
CLIMA E INGENIERIA AMBIENTAL S.A,CIA920304LG6,Oficinas e Inmobiliarias
INVALIDA,CIB040720GT8,NC Edificación Comercial
COMERCIALIZADORA INMOBILIARIA DEL BOSQUE SA DE CV,CIB930331PP5,NC Vivienda Media
CLINICA INTEGRAL DE LA CABEZA A LOS PIES S.C.,CIC040518AG7,Hospitales Privados
CENTRO DE INVESTIGACION CLINICA GRAMEL SC,CIC1010198F2,Hospitales Privados
COMBUSTION INDUSTRIAL Y CONTROL S.A. DE C.V.,CIC860729DL0,Pequeños Negocios
"CONSTRUCCIONES ICAD, S.A. DE C.V.",CIC980127TG0,NC Edificación Comercial
CONSTRUCCIONES INDUSTRIALES CORNEJO SA DE CV,CIC9809037U6,Herrerías
CENTRO INTEGRAL DE ENSEÑANZA SC,CID1503242G5,Educación Privada
CONSTRUCCIONES IETA S.A DE C.V,CIE110624GH9,NC Edificación Comercial
CONSTRUCCIONES E INSTALACIONES FAHESA S.A DE C.V,CIF040105HU0,NC Edificación Comercial
CONSTRUCCIONES INDUSTRIALES GAL S.A DE C.V,CIG070412H73,Herrerías
CONSTRUCCIONES INDUSTRIALES HURTADO SA DE CV,CIH031215E3,Herrerías
"CONSTRUCTORTA INMOBILIARIA JOHS, S.A DE C.V.",CIJ130611N57,NC Vivienda Media
CONSTRUCCIONES INSTALACIONES Y MANTENIMIENTO ARIES SA DE CV,CIM950208FT7,NC Edificación Comercial
CONNSTRUCCIONES E INGENIERIA S.A DE C.V,CIN920819MTA,NC Edificación Comercial
CONSTRUCTORA E INMOBILIARIA PORTO FINO SA DE CV,CIP080904F46,NC Vivienda Media
COMERCIALIZADORA INDUSTRIAL REIVAJ SA DE CV,CIR130701DJ6,Pequeños Negocios
CONSTRUCCIONES INDUSTRIALES Y DE SERVICIOS S.A. DE,CIS001020ES2,Herrerías
CONSTRUCCIONES E INSTALACIONES SEGURAS S.A.DE C.V.,CIS0110302I3,NC Edificación Comercial
CONSTRUCTORA E INMOBILIARIA TREQ SA DE CV,CIT031201JD1,NC Vivienda Lujo
CONSTRUCTORA INMOBILIARIA Y VALUACIONES MICHOACAN SA DE CV,CIV101209941,NC Vivienda Media
CALZADOS IZARA S.A DE C.V,CIZ070213I17,Manufactura Industria Textil
CONSTRUCTORA JBE SA DE CV,CJB021119BZ3,NC Edificación Comercial
"CONSTRUCCIONES JIME, SA DE CV",CJI091130GP7,NC Edificación Comercial
CONSTRUCTORA JIMTRE SA DE CV,CJI990122DG3,NC Edificación Comercial
"COMERCIALIZADORA JUMBO, S.A. DE C.V.",CJU910129EC2,Pequeños Negocios
CONSTRUCTORA KAYDEN SA DE CV,CKA140707GL9,NC Edificación Comercial
COMERCIALIZADORA LEONES ARESA SA DE CV,CLA041117HK8,Pequeños Negocios
CASA LEY SA DE CV,CLE810525EA1,Autoservicios
CARPINTERIA Y LACA EN GENERAL DE OCCIDENTE SA DE CV,CLG020130GZ4,Carpinterías
"CONSTRUCTORA LEDESMA HERMANOS, SA DE CV",CLH971024LF9,NC Edificación Comercial
CARPINTERIA LIGNA S DE RL DE CV,CLI1410226W2,Carpinterías
CONSTRUCTORA LOTUS S.A. DE C.V.,CLO8604097N0,NC Edificación Comercial
CONSTRUCCIONES MODERNAS Y ACABADOS SA DE CV.,CMA011025US3,NC Edificación Comercial
CONSTRUCTORA MEXIQUENSE ARIES S.A DE C.V,CMA020930FN1,NC Edificación Comercial
CONSTRUCTORA MONTEMAYOR CHAPA S.A.,CMC6406099G6,NC Edificación Comercial
CONSULTORIA MEDICA DAGE SC,CMD060310F76,Hospitales Privados
CONSEJO MUNUCIPAL DEL DEPORTE DE TONALA,CMD090522MP8,Municipios
CONTRUCTORA MAXIMA DIMENCION S.A DE C.V,CMD100127H42,NC Edificación Comercial
"CONSTRUCCIONES METALICAS ELECTROMECANICAS MARTINEZ, S.A.DE C.V.",CME060708V74,Estructuras Metálicas
HERNANDEZ GARCIA EDGAR JUAN,CME910715UB9,Autoservicios
CONSTRUCCIONES Y MANTENIMIENTO GRANADOS SA DE CV.,CMG050722M14,NC Edificación Comercial
CONSTRUCCIONES Y MANTENIMIENTO GRANADOS SA DE CV,CMG050722M14,NC Edificación Comercial
